ID,Name,Age,Salary,Department,Years_of_Experience,Performance_Score
233,Person_233,72,147676,IT,0,4.32
234,Person_234,45,58613,IT,2,1.86
235,Person_235,42,44900,Finance,7,2.66
236,Person_236,56,126340,Marketing,3,1.63
237,Person_237,79,124869,Finance,36,3.38
238,Person_238,50,57293,HR,8,2.98
239,Person_239,18,106369,HR,2,2.55
240,Person_240,74,79022,Sales,21,4.84
241,Person_241,44,29711,HR,7,1.63
242,Person_242,79,57156,Marketing,36,4.05
243,Person_243,74,88378,IT,13,3.47
244,Person_244,69,112783,Finance,5,4.23
245,Person_245,30,127776,Sales,19,3.48
246,Person_246,58,58300,HR,20,4.63
247,Person_247,20,24476,HR,17,2.04
248,Person_248,56,107239,Marketing,29,4.83
249,Person_249,23,36608,Finance,3,1.78
250,Person_250,25,45478,Sales,0,4.94
251,Person_251,44,66876,Finance,30,3.95
252,Person_252,26,139454,Finance,28,4.5
253,Person_253,79,58181,Sales,10,3.84
254,Person_254,54,67623,HR,30,2.86
255,Person_255,50,61566,Marketing,10,1.24
256,Person_256,68,67780,Marketing,21,1.16
257,Person_257,59,65498,Marketing,0,4.92
258,Person_258,61,116974,Sales,5,4.08
259,Person_259,41,147157,Finance,31,4.67
260,Person_260,32,146451,Marketing,16,2.31
261,Person_261,76,45017,Marketing,32,1.33
262,Person_262,71,55423,Finance,15,4.54
263,Person_263,49,58169,HR,6,1.68
264,Person_264,49,65999,HR,28,1.73
265,Person_265,41,35472,Marketing,19,4.81
266,Person_266,58,65322,Finance,7,1.53
267,Person_267,69,97334,HR,35,4.28
268,Person_268,66,55745,IT,30,1.16
269,Person_269,79,119104,IT,28,3.58
270,Person_270,66,137200,Sales,25,1.78
271,Person_271,75,119296,Sales,22,1.43
272,Person_272,69,148385,Marketing,18,4.46
273,Person_273,29,67611,Finance,14,1.23
274,Person_274,79,124560,Sales,6,4.08
275,Person_275,56,93020,Finance,31,2.63
276,Person_276,19,145059,IT,32,1.81
277,Person_277,20,134187,Finance,8,3.67
278,Person_278,66,45500,Marketing,39,2.59
279,Person_279,54,101641,HR,4,4.1
280,Person_280,66,87561,Sales,20,3.32
281,Person_281,73,136462,Finance,19,3.5
282,Person_282,34,49546,Marketing,32,1.04
283,Person_283,76,112262,Finance,20,3.98
284,Person_284,66,90313,Marketing,25,1.1
285,Person_285,19,31218,Marketing,30,2.58
286,Person_286,19,121560,Sales,24,4.89
287,Person_287,45,148945,HR,7,3.45
288,Person_288,71,144993,Finance,1,4.02
289,Person_289,40,38566,IT,28,1.06
290,Person_290,54,84636,Sales,36,1.98
291,Person_291,49,40536,Sales,18,1.63
292,Person_292,50,82765,Sales,8,3.69
293,Person_293,18,78133,Finance,26,2.24
294,Person_294,36,74154,Sales,35,4.51
295,Person_295,79,140736,Sales,30,4.42
296,Person_296,19,53461,Sales,3,1.28
297,Person_297,70,62643,Sales,21,3.51
298,Person_298,61,109860,HR,14,2.43
299,Person_299,43,97635,Finance,15,2.42
300,Person_300,49,109101,Marketing,15,1.74
301,Person_301,23,104866,IT,27,2.17
302,Person_302,49,51345,Marketing,16,2.92
303,Person_303,72,131057,Sales,17,4.4
304,Person_304,21,70175,Finance,2,2.78
305,Person_305,72,95193,IT,37,4.33
306,Person_306,28,60986,Marketing,7,1.27
307,Person_307,73,53539,Finance,23,4.68
308,Person_308,76,41887,Sales,1,3.89
309,Person_309,34,142818,Sales,18,2.9
310,Person_310,55,91999,Sales,27,2.6
311,Person_311,41,73466,IT,22,4.79
312,Person_312,22,105723,IT,22,4.42
313,Person_313,69,71029,Sales,3,2.82
314,Person_314,51,70345,IT,36,2.87
315,Person_315,23,78780,Marketing,35,3.41
316,Person_316,39,119919,HR,11,4.92
317,Person_317,28,55234,Finance,9,2.23
318,Person_318,65,146738,HR,31,4.92
319,Person_319,33,23187,HR,34,1.95
320,Person_320,50,141437,Finance,37,2.84
321,Person_321,26,87534,Marketing,17,1.41
322,Person_322,77,132708,IT,36,2.41
323,Person_323,76,123710,HR,1,4.97
324,Person_324,23,100554,HR,14,2.74
325,Person_325,33,60542,Marketing,10,4.42
326,Person_326,46,63976,Marketing,15,2.14
327,Person_327,20,88044,Sales,32,4.5
328,Person_328,37,119306,Sales,34,3.13
329,Person_329,77,20148,Marketing,13,2.78
330,Person_330,76,71053,HR,29,2.28
331,Person_331,53,75006,Finance,19,2.52
332,Person_332,36,30432,HR,13,4.04
333,Person_333,43,64264,Sales,17,4.42
334,Person_334,20,103660,HR,34,3.38
335,Person_335,36,24257,IT,21,3.89
336,Person_336,37,140764,IT,34,4.5
337,Person_337,49,83011,IT,14,2.12
338,Person_338,24,72175,Marketing,28,4.09
339,Person_339,69,25577,HR,29,3.03
340,Person_340,58,149765,Finance,20,2.14
341,Person_341,50,32840,Sales,35,4.36
342,Person_342,57,132801,Marketing,10,1.48
343,Person_343,56,100024,Marketing,20,2.88
344,Person_344,35,84952,IT,39,1.1
345,Person_345,57,114528,IT,28,1.67
346,Person_346,18,117355,IT,4,1.31
347,Person_347,28,94107,Sales,19,3.58
348,Person_348,45,145690,IT,10,2.77
349,Person_349,74,117045,Marketing,21,2.77
350,Person_350,42,42203,IT,24,2.14
351,Person_351,67,93141,Marketing,4,3.29
352,Person_352,40,28056,HR,30,2.79
353,Person_353,48,62773,Sales,25,3.88
354,Person_354,47,102620,HR,18,2.71
355,Person_355,59,62109,HR,13,2.85
356,Person_356,52,43279,Finance,24,4.12
357,Person_357,24,27873,Finance,3,3.8
358,Person_358,77,100812,IT,5,4.08
359,Person_359,33,58087,IT,0,2.52
360,Person_360,43,90880,Marketing,15,4.64
361,Person_361,65,135268,Marketing,23,4.06
362,Person_362,74,133855,Sales,39,3.14
363,Person_363,69,111657,HR,37,3.58
364,Person_364,77,32226,HR,10,1.13
365,Person_365,66,75050,Sales,19,1.72
366,Person_366,19,54037,IT,5,2.55
367,Person_367,18,116221,IT,23,1.27
368,Person_368,65,126907,IT,26,4.35
369,Person_369,79,62756,IT,4,2.42
370,Person_370,29,58411,Marketing,36,3.12
371,Person_371,22,96331,IT,20,2.32
372,Person_372,54,108684,IT,7,3.63
373,Person_373,49,147324,HR,17,3.29
374,Person_374,76,60025,Finance,17,1.22
375,Person_375,72,74236,Sales,24,4.37
376,Person_376,26,46396,Sales,35,1.77
377,Person_377,58,119789,Sales,24,1.9
378,Person_378,52,78659,Finance,5,3.45
379,Person_379,36,72514,Marketing,29,1.31
380,Person_380,65,98192,Sales,13,2.93
381,Person_381,33,49959,Sales,22,3.61
382,Person_382,20,135983,Sales,16,3.31
383,Person_383,37,134474,Sales,11,2.34
384,Person_384,41,83556,Marketing,7,3.1
385,Person_385,71,87727,IT,15,1.03
386,Person_386,73,83543,Marketing,3,2.03
387,Person_387,50,78920,Marketing,0,1.75
388,Person_388,41,125548,HR,15,3.11
389,Person_389,69,98343,Marketing,33,4.58
390,Person_390,28,78677,HR,3,2.84
391,Person_391,66,124537,Marketing,3,3.41
392,Person_392,25,63383,Finance,18,1.9
393,Person_393,53,126372,HR,19,1.89
394,Person_394,55,80168,Finance,28,3.94
395,Person_395,57,88581,Marketing,17,3.04
396,Person_396,37,23265,Finance,16,2.87
397,Person_397,79,74854,Marketing,26,2.87
398,Person_398,52,58685,HR,37,1.12
399,Person_399,65,51056,Finance,22,1.56
400,Person_400,79,133145,Marketing,7,4.68
401,Person_401,42,75403,IT,2,1.18
402,Person_402,52,125054,IT,26,3.9
403,Person_403,42,118814,Marketing,20,4.15
404,Person_404,46,87904,HR,25,4.02
405,Person_405,35,87035,Sales,36,3.04
406,Person_406,63,108349,Finance,37,1.67
407,Person_407,35,59726,Sales,23,3.8
408,Person_408,19,125822,Finance,25,1.61
409,Person_409,71,53623,Finance,18,3.6
410,Person_410,52,103870,IT,15,4.45
411,Person_411,33,89563,Finance,5,1.6
412,Person_412,78,105236,Marketing,33,3.87
413,Person_413,58,110698,Finance,12,4.0
414,Person_414,53,36745,Marketing,39,2.74
415,Person_415,50,140143,Marketing,12,4.75
416,Person_416,21,46248,Sales,34,3.62
417,Person_417,50,83709,IT,28,3.95
418,Person_418,31,114923,HR,39,4.61
419,Person_419,38,100309,HR,3,2.09
420,Person_420,65,143886,HR,33,1.45
421,Person_421,37,73820,Marketing,38,2.0
422,Person_422,73,149471,Finance,2,3.15
423,Person_423,25,48623,Sales,27,1.28
424,Person_424,24,132480,Marketing,2,3.4
425,Person_425,20,72485,Marketing,24,4.13
426,Person_426,34,73548,HR,36,3.71
427,Person_427,50,101472,Marketing,1,3.1
428,Person_428,65,25068,HR,4,3.07
429,Person_429,29,38980,HR,2,2.14
430,Person_430,76,57858,HR,1,4.2
431,Person_431,68,98827,Marketing,24,2.38
432,Person_432,39,144761,Sales,26,3.1
433,Person_433,72,60169,IT,0,2.07
434,Person_434,39,129768,Finance,30,3.59
435,Person_435,63,73861,HR,37,3.8
436,Person_436,47,82573,Marketing,16,3.83
437,Person_437,55,73218,IT,7,3.13
438,Person_438,55,89528,Marketing,20,1.66
439,Person_439,62,129105,Marketing,38,1.51
440,Person_440,68,131099,Finance,17,1.1
441,Person_441,71,29082,HR,25,2.72
442,Person_442,25,141670,Marketing,13,2.62
443,Person_443,44,132616,Finance,22,3.97
444,Person_444,44,109966,Marketing,26,3.14
445,Person_445,51,137534,IT,22,3.49
446,Person_446,38,21695,Sales,17,2.63
447,Person_447,47,115090,Sales,35,2.93
448,Person_448,50,127311,HR,0,4.81
449,Person_449,45,27378,Sales,34,2.6
450,Person_450,64,118802,Finance,36,2.51
451,Person_451,50,119984,Finance,6,1.46
452,Person_452,22,64220,Sales,28,3.3
453,Person_453,77,109272,Finance,14,2.28
454,Person_454,78,29528,Marketing,2,1.69
455,Person_455,65,131045,Marketing,28,2.79
456,Person_456,36,82424,Finance,34,2.09
457,Person_457,21,20248,IT,37,1.23
458,Person_458,52,29888,HR,36,4.24
459,Person_459,66,135346,Finance,0,3.79
460,Person_460,34,35118,HR,31,1.98
461,Person_461,61,139458,Sales,28,1.42
462,Person_462,45,86224,IT,3,3.5
463,Person_463,47,142847,Marketing,39,3.7
464,Person_464,46,128773,Finance,17,4.05
465,Person_465,63,103619,IT,19,2.19
466,Person_466,70,20223,HR,37,2.85
467,Person_467,23,54527,Finance,3,4.68
468,Person_468,52,40199,Marketing,28,2.37
469,Person_469,77,101973,Marketing,14,2.17
470,Person_470,58,98883,Finance,15,4.33
471,Person_471,54,123988,Finance,20,4.59
472,Person_472,41,102619,IT,30,3.14
473,Person_473,46,108545,Marketing,32,1.47
474,Person_474,66,135273,HR,18,2.36
475,Person_475,63,39755,Marketing,17,3.91
476,Person_476,70,24384,Finance,4,4.47
477,Person_477,48,86987,HR,16,4.61
478,Person_478,52,85846,Finance,39,2.35
479,Person_479,77,137193,Marketing,14,2.88
480,Person_480,50,132171,IT,10,1.43
481,Person_481,69,67154,HR,15,1.47
482,Person_482,78,148508,IT,34,4.71
483,Person_483,38,37506,Sales,13,3.95
484,Person_484,49,118645,HR,9,1.8
485,Person_485,40,98386,Marketing,0,2.06
486,Person_486,50,94710,IT,37,2.98
487,Person_487,20,146598,IT,29,3.47
488,Person_488,35,48372,Marketing,14,3.93
489,Person_489,42,144288,Finance,13,3.93
490,Person_490,59,101548,Sales,16,4.53
491,Person_491,48,143336,Marketing,11,3.31
492,Person_492,71,25423,IT,10,4.18
493,Person_493,75,132510,HR,22,3.1
494,Person_494,20,29841,Sales,8,1.73
495,Person_495,57,141582,Marketing,30,1.37
496,Person_496,63,108915,IT,10,2.18
497,Person_497,41,136398,Sales,9,3.42
498,Person_498,67,37966,Finance,6,3.27
499,Person_499,49,34601,Sales,33,1.01
500,Person_500,64,108089,Marketing,5,4.1
501,Person_501,39,148049,HR,31,1.85
502,Person_502,40,98766,IT,27,4.16
503,Person_503,19,101835,Marketing,25,2.67
504,Person_504,44,26784,HR,8,3.27
505,Person_505,59,94092,IT,33,4.54
506,Person_506,19,116062,Marketing,14,1.85
507,Person_507,43,103088,Finance,10,1.2
508,Person_508,34,28336,HR,2,1.55
509,Person_509,57,124614,HR,27,1.47
510,Person_510,50,21066,Sales,17,1.4
511,Person_511,26,135659,Finance,14,4.63
512,Person_512,60,29768,IT,11,1.01
513,Person_513,71,27182,Sales,13,2.48
514,Person_514,65,32416,Finance,0,2.12
515,Person_515,56,73305,Marketing,17,4.28
516,Person_516,46,65109,HR,38,2.07
517,Person_517,59,78591,Sales,8,2.5
518,Person_518,72,64746,HR,15,4.93
519,Person_519,43,93860,Finance,24,4.26
520,Person_520,52,31837,HR,13,1.71
521,Person_521,67,21266,Sales,23,1.1
522,Person_522,42,85745,Marketing,8,3.99
523,Person_523,41,106257,Sales,33,2.75
524,Person_524,30,92062,IT,37,4.43
525,Person_525,77,31473,HR,13,1.14
526,Person_526,75,42742,Sales,18,3.79
527,Person_527,24,80659,Sales,25,4.01
528,Person_528,74,115302,Marketing,4,3.91
529,Person_529,53,94541,HR,12,4.86
530,Person_530,62,76409,HR,15,3.77
531,Person_531,37,105440,IT,18,4.03
532,Person_532,18,109243,Finance,26,1.41
533,Person_533,25,56217,Finance,25,1.99
534,Person_534,63,22131,HR,35,4.21
535,Person_535,33,78792,Sales,12,4.4
536,Person_536,31,91663,Finance,25,4.12
537,Person_537,29,133302,Finance,35,2.32
538,Person_538,68,70847,Sales,26,1.85
539,Person_539,40,117209,IT,12,4.9
540,Person_540,32,136197,IT,39,3.77
541,Person_541,45,95686,HR,22,1.18
542,Person_542,51,124529,Finance,34,4.57
543,Person_543,19,125248,Sales,29,1.84
544,Person_544,49,101081,IT,25,2.14
545,Person_545,40,46712,Sales,4,3.21
546,Person_546,39,108223,HR,16,4.28
547,Person_547,68,145935,HR,19,3.09
548,Person_548,42,149393,IT,20,3.01
549,Person_549,75,108625,Finance,7,3.52
550,Person_550,79,138962,Sales,17,1.91
551,Person_551,78,133371,Finance,2,2.66
552,Person_552,39,53996,IT,14,2.29
553,Person_553,75,111666,HR,20,1.88
554,Person_554,75,30754,HR,9,4.06
555,Person_555,39,24211,IT,17,4.82
556,Person_556,66,121722,HR,5,4.76
557,Person_557,69,120752,Marketing,1,1.54
558,Person_558,59,24394,HR,8,1.1
559,Person_559,23,139452,Marketing,31,2.26
560,Person_560,32,115984,Marketing,3,3.95
561,Person_561,71,131101,Marketing,25,1.77
562,Person_562,60,113291,Finance,34,1.27
563,Person_563,77,40267,IT,19,3.74
564,Person_564,54,75347,IT,8,3.44
565,Person_565,50,53775,IT,32,4.83
566,Person_566,25,148352,Marketing,13,2.98
567,Person_567,70,143419,Marketing,34,3.71
568,Person_568,77,61171,Marketing,9,3.39
569,Person_569,61,25228,HR,11,1.13
570,Person_570,61,93633,Sales,10,4.36
571,Person_571,22,132591,Sales,19,4.25
572,Person_572,56,24070,HR,11,1.65
573,Person_573,21,23893,Sales,35,3.01
574,Person_574,23,141601,Sales,29,3.13
575,Person_575,62,136081,Finance,18,4.02
576,Person_576,49,145659,Sales,25,3.98
577,Person_577,69,129072,HR,28,2.06
578,Person_578,47,94991,Marketing,10,2.94
579,Person_579,64,100595,Finance,14,2.0
580,Person_580,52,105393,Sales,30,3.59
581,Person_581,72,29204,HR,13,2.55
582,Person_582,57,50491,IT,18,4.57
583,Person_583,69,102715,IT,25,1.08
584,Person_584,33,70355,Finance,24,2.44
585,Person_585,30,138031,IT,27,4.0
586,Person_586,67,41408,HR,4,1.43
587,Person_587,77,130676,IT,23,3.54
588,Person_588,59,25892,IT,31,1.82
589,Person_589,47,134158,Sales,25,4.57
590,Person_590,36,121676,HR,19,1.29
591,Person_591,34,53188,HR,8,3.19
592,Person_592,73,22257,HR,6,2.01
593,Person_593,36,52051,Marketing,3,1.44
594,Person_594,45,26079,HR,6,4.89
595,Person_595,75,118365,Sales,27,2.41
596,Person_596,72,73252,IT,19,2.43
597,Person_597,43,73743,IT,30,2.37
598,Person_598,54,72330,IT,1,2.02
599,Person_599,43,136234,HR,9,4.78
600,Person_600,70,124277,HR,36,3.39
601,Person_601,79,128246,Finance,2,2.34
602,Person_602,40,45306,Finance,35,2.04
603,Person_603,26,27554,Finance,28,3.42
604,Person_604,29,28370,Marketing,23,2.38
605,Person_605,70,25609,Finance,19,2.27
606,Person_606,18,83291,Sales,1,1.3
607,Person_607,75,109153,HR,21,4.7
608,Person_608,75,34008,Marketing,38,1.42
609,Person_609,18,45104,Sales,21,4.69
610,Person_610,64,21410,IT,11,2.0
611,Person_611,51,100258,Finance,0,2.38
612,Person_612,49,63559,Finance,14,2.58
613,Person_613,79,61295,HR,36,3.47
614,Person_614,71,79979,Sales,26,2.29
615,Person_615,65,101726,Sales,32,2.81
616,Person_616,42,139541,Finance,8,1.07
617,Person_617,57,143954,Finance,23,1.39
618,Person_618,62,114848,Sales,30,4.04
619,Person_619,70,108370,Sales,21,2.2
620,Person_620,18,68387,IT,30,1.81
621,Person_621,33,131312,Finance,22,4.85
622,Person_622,78,69362,Finance,4,1.66
623,Person_623,56,29859,Sales,25,2.01
624,Person_624,22,70606,HR,12,2.26
625,Person_625,39,90566,Sales,33,2.6
626,Person_626,46,35955,Finance,31,3.81
627,Person_627,72,40528,IT,20,2.08
628,Person_628,20,85976,Finance,14,4.68
629,Person_629,29,116501,Marketing,17,4.86
630,Person_630,43,42504,Finance,25,1.38
631,Person_631,33,77894,Finance,37,3.05
632,Person_632,68,77795,Finance,22,2.32
633,Person_633,54,113328,Sales,29,2.3
634,Person_634,39,28846,HR,11,3.15
635,Person_635,74,32534,Finance,5,3.33
636,Person_636,46,92040,Finance,35,1.57
637,Person_637,31,20667,Finance,0,3.52
638,Person_638,45,58927,Finance,4,3.09
639,Person_639,22,128933,Finance,32,4.02
